# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = H12-00_initial_clean.image.tt0_170223.fits
# RMS (constant) = 2.878e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.338e-01 , 2.473e-01) arcsec, PA = -4.115e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1       2669       3048       6412   176.672000078    -0.126055512   2.78e-06   2.78e-06        3072.12        6424.26   176.671330037    -0.125714894          1        3061.12        6418.00   176.671635754    -0.125888869          1       3030       3118       6396       6451   2.88e-06   1.00e+00     0.10   5.947e+02   5.947e+02   5.947e+02   1.711434e-03   1.711434e-03   1.711434e-03   1.711434e-03   1.711434e-03   9.220844e-05   9.540847e-03   9.540847e-03   9.554954e-03   9.554954e-03   4.777564e-04    50.12  -1.000e+00
       2         95       7582       6561   176.546055299    -0.121916398   2.83e-06   2.83e-06        7582.87        6559.85   176.546031030    -0.121948269          1        7582.39        6560.54   176.546044390    -0.121929293          1       7573       7593       6554       6565   2.88e-06   1.00e+00     0.10   1.060e+02   1.065e+02   1.065e+02   3.050201e-04   3.063541e-04   3.063541e-04   3.063541e-04   3.063541e-04   1.674681e-05   5.332198e-04   5.332198e-04   5.383879e-04   5.383879e-04   2.707279e-05     2.56  -1.000e+00
       3         60       1337       5193   176.719528112    -0.159916482   2.89e-06   2.90e-06        1338.25        5194.07   176.719493389    -0.159886853          1        1337.62        5193.30   176.719510903    -0.159908165          1       1334       1343       5190       5201   2.88e-06   1.00e+00     0.19   6.899e+01   6.902e+01   6.902e+01   1.985595e-04   1.986327e-04   1.986327e-04   1.986327e-04   1.986327e-04   1.107708e-05   2.518537e-04   2.518537e-04   2.558208e-04   2.558208e-04   1.311080e-05     1.81  -1.000e+00
       4        140       2094       4843   176.698500265    -0.169638788   2.98e-06   2.99e-06        2093.90        4842.57   176.698503043    -0.169650693          1        2094.09        4842.52   176.698497685    -0.169652164          1       2087       2099       4828       4856   2.88e-06   1.00e+00     0.10   5.132e+01   5.132e+01   5.132e+01   1.477061e-04   1.477061e-04   1.477061e-04   1.477061e-04   1.477061e-04   8.458836e-06   3.593789e-04   3.593789e-04   3.673048e-04   3.673048e-04   1.858936e-05     4.61  -1.000e+00
       5         37       2623       4260   176.683805789    -0.185833276   3.16e-06   3.19e-06        2622.70        4260.14   176.683814047    -0.185829522          1        2622.61        4259.78   176.683816749    -0.185839378          1       2619       2625       4257       4265   2.88e-06   1.00e+00     0.10   3.614e+01   3.636e+01   3.636e+01   1.039991e-04   1.046278e-04   1.046278e-04   1.046278e-04   1.046278e-04   6.326810e-06   1.264727e-04   1.264727e-04   1.306250e-04   1.306250e-04   7.137195e-06     1.36  -1.000e+00
       6         30       3904       5791   176.648222247    -0.143305547   3.41e-06   3.46e-06        3904.13        5791.10   176.648218543    -0.143302769          1        3904.06        5791.18   176.648220640    -0.143300669          1       3902       3907       5788       5794   2.88e-06   1.00e+00     0.10   2.770e+01   2.770e+01   2.770e+01   7.971613e-05   7.971613e-05   7.971613e-05   7.971613e-05   7.971613e-05   5.168252e-06   8.472272e-05   8.472272e-05   8.855273e-05   8.855273e-05   5.280745e-06     1.22  -1.000e+00
       7         27       6553       5247   176.574638624    -0.158416541   4.06e-06   4.15e-06        6553.52        5247.41   176.574624220    -0.158405224          1        6553.53        5247.34   176.574623887    -0.158406994          1       6551       6556       5245       5250   2.88e-06   1.00e+00     0.39   1.819e+01   1.846e+01   1.846e+01   5.234825e-05   5.312439e-05   5.312439e-05   5.312439e-05   5.312439e-05   4.057917e-06   6.026373e-05   6.026373e-05   6.471535e-05   6.471535e-05   4.330415e-06     1.30  -1.000e+00
       8         32       1788       1497   176.707000718    -0.262583224   4.15e-06   4.24e-06        1787.91        1496.62   176.707003322    -0.262593641          1        1787.90        1496.62   176.707003419    -0.262593720          1       1785       1791       1494       1499   2.88e-06   1.00e+00     0.29   1.779e+01   1.779e+01   1.779e+01   5.120500e-05   5.120500e-05   5.120500e-05   5.120500e-05   5.120500e-05   3.985721e-06   6.700910e-05   6.700910e-05   7.218973e-05   7.218973e-05   4.616352e-06     1.57  -1.000e+00
       9         18       6130       4569   176.586388623    -0.177249915   4.74e-06   4.86e-06        6129.83        4569.28   176.586393253    -0.177242199          1        6129.85        4569.23   176.586392922    -0.177243607          1       6128       6132       4567       4571   2.88e-06   1.00e+00     0.29   1.426e+01   1.426e+01   1.426e+01   4.104309e-05   4.104309e-05   4.104309e-05   4.104309e-05   4.104309e-05   3.628700e-06   3.658718e-05   3.658718e-05   4.032432e-05   4.032432e-05   3.513892e-06     0.98  -1.000e+00
      10         28       3212       3496   176.667444623    -0.207055532   5.06e-06   5.20e-06        3212.75        3495.79   176.667423790    -0.207061484          1        3212.40        3495.62   176.667433542    -0.207066016          1       3210       3217       3493       3498   2.88e-06   1.00e+00     0.29   1.296e+01   1.296e+01   1.296e+01   3.728455e-05   3.728455e-05   3.728455e-05   3.728455e-05   3.728455e-05   3.509089e-06   4.318836e-05   4.318836e-05   4.818102e-05   4.818102e-05   3.753110e-06     1.60  -1.000e+00
      11         28       3540       4047   176.658333435    -0.191749988   5.14e-06   5.29e-06        3539.64        4047.18   176.658343356    -0.191745027          1        3539.82        4047.18   176.658338491    -0.191745052          1       3536       3542       4045       4051   2.88e-06   1.00e+00     0.39   1.264e+01   1.264e+01   1.264e+01   3.637881e-05   3.637881e-05   3.637881e-05   3.637881e-05   3.637881e-05   3.481411e-06   4.425829e-05   4.425829e-05   4.954108e-05   4.954108e-05   3.797118e-06     1.62  -1.000e+00
      12       1404       3236       6445   176.666777841    -0.125138853   6.08e-06   6.28e-06        3218.68        6446.18   176.667258948    -0.125106089          1        3222.02        6445.63   176.667166083    -0.125121281          1       3180       3250       6429       6465   2.88e-06   1.00e+00     7.56   1.151e+01   1.151e+01   1.011e+01   3.312136e-05   3.312136e-05   2.909230e-05   2.909230e-05   2.909230e-05   3.276699e-06   1.858138e-03   1.858138e-03   2.156899e-03   2.156899e-03   1.078833e-04    92.66  -1.000e+00
