# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = g018_5500_mf_large_selfcal_cgcurs_161111.fits
# RMS image = rms_noise.fits
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (4727 , 2357) pixels
# Image projection = NCP
# Total non-blank pixels = 11141539
# Pixel dimensions (RA , Dec) = (5.596e-01 , 1.122e+00) arcsec
# Resolution (bmaj , bmin) = (1.151e+01 , 3.818e+00) arcsec, PA = 4.176e+00 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.600e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1        837       1723       1434   351.980871656   -30.176176511   4.17e-06   9.56e-06        1717.34        1427.84   351.981890924   -30.178096804          1        1722.39        1432.92   351.980981498   -30.176512630          1       1697       1735       1407       1449   7.10e-06   1.00e+00     0.01   3.296e+02   3.302e+02   3.302e+02   2.339824e-03   2.344250e-03   2.344250e-03   2.344250e-03   2.344250e-03   1.264412e-04   2.577420e-03   2.577420e-03   2.587006e-03   2.587006e-03   1.295450e-04     2.18  -1.000e+00
       2        868       3790       1405   351.609177075   -30.184448385   4.57e-06   1.10e-05        3796.78        1403.36   351.607957149   -30.184950069          1        3791.58        1404.90   351.608892445   -30.184477687          1       3772       3820       1388       1422   7.11e-06   1.00e+00     0.02   2.546e+02   2.562e+02   2.562e+02   1.809718e-03   1.821612e-03   1.821612e-03   1.821612e-03   1.821612e-03   9.835409e-05   2.422772e-03   2.422772e-03   2.434664e-03   2.434664e-03   1.219406e-04     2.39  -1.000e+00
       3       1868       2361       1144   351.866151639   -30.266875484   8.46e-06   2.37e-05        2359.96        1141.89   351.866338462   -30.267532136          1        2362.10        1141.98   351.865953695   -30.267504557          1       2324       2398       1122       1167   7.10e-06   1.00e+00     0.10   9.794e+01   9.845e+01   9.845e+01   6.957680e-04   6.994419e-04   6.994419e-04   6.994419e-04   6.994419e-04   3.833021e-05   3.218005e-03   3.218005e-03   3.263658e-03   3.263658e-03   1.633375e-04     6.49  -1.000e+00
       4        248       2693        805   351.806334911   -30.372304940   2.12e-05   6.18e-05        2693.43         805.42   351.806257981   -30.372175776          1        2693.16         805.10   351.806305378   -30.372273073          1       2685       2705        795        819   7.10e-06   1.00e+00     0.09   3.627e+01   3.638e+01   3.638e+01   2.575116e-04   2.582882e-04   2.582882e-04   2.582882e-04   2.582882e-04   1.561662e-05   2.561979e-04   2.561979e-04   2.676403e-04   2.676403e-04   1.514892e-05     1.19  -1.000e+00
       5        260       3572        932   351.648052534   -30.332172471   2.42e-05   7.09e-05        3573.17         931.50   351.647841610   -30.332327817          1        3572.47         931.75   351.647968519   -30.332251146          1       3563       3587        922        942   7.11e-06   1.00e+00     0.13   3.152e+01   3.165e+01   3.165e+01   2.239298e-04   2.249116e-04   2.249116e-04   2.249116e-04   2.249116e-04   1.404208e-05   2.423883e-04   2.423883e-04   2.551691e-04   2.551691e-04   1.460345e-05     1.31  -1.000e+00
       6        202       2342        852   351.869574732   -30.357752809   2.58e-05   7.55e-05        2342.07         851.09   351.869561366   -30.358034378          1        2342.06         851.11   351.869564263   -30.358029664          1       2336       2348        841        862   7.10e-06   1.00e+00     0.08   2.930e+01   2.973e+01   2.973e+01   2.081386e-04   2.111361e-04   2.111361e-04   2.111361e-04   2.111361e-04   1.340613e-05   1.898530e-04   1.898530e-04   2.006508e-04   2.006508e-04   1.229222e-05     1.05  -1.000e+00
       7        449       2100        615   351.913205560   -30.431299269   2.88e-05   8.43e-05        2099.30         612.58   351.913331601   -30.432049872          1        2099.39         613.46   351.913316299   -30.431777727          1       2085       2116        600        624   7.10e-06   1.00e+00     0.27   2.646e+01   2.660e+01   2.660e+01   1.879285e-04   1.888631e-04   1.888631e-04   1.888631e-04   1.888631e-04   1.240437e-05   3.167950e-04   3.167950e-04   3.374201e-04   3.374201e-04   1.830460e-05     2.44  -1.000e+00
       8        180       3020       1053   351.747511993   -30.295014402   3.23e-05   9.48e-05        3020.42        1052.87   351.747435932   -30.295053922          1        3020.41        1052.79   351.747438928   -30.295078945          1       3013       3027       1044       1062   7.10e-06   1.00e+00     0.13   2.362e+01   2.363e+01   2.363e+01   1.677738e-04   1.678386e-04   1.678386e-04   1.678386e-04   1.678386e-04   1.149577e-05   1.468508e-04   1.468508e-04   1.579088e-04   1.579088e-04   1.062066e-05     1.03  -1.000e+00
       9        194       2071       1149   351.918344475   -30.265275911   3.61e-05   1.06e-04        2070.52        1149.05   351.918431672   -30.265261316          1        2070.66        1149.10   351.918406397   -30.265244270          1       2064       2077       1141       1157   7.11e-06   1.00e+00     0.13   2.101e+01   2.110e+01   2.110e+01   1.493392e-04   1.499527e-04   1.499527e-04   1.499527e-04   1.499527e-04   1.075690e-05   1.377860e-04   1.377860e-04   1.497321e-04   1.497321e-04   1.032237e-05     1.17  -1.000e+00
      10        118       2155       1230   351.903216931   -30.240042103   5.26e-05   1.55e-04        2156.16        1229.46   351.903008095   -30.240211501          1        2156.11        1229.56   351.903016791   -30.240179469          1       2151       2161       1222       1236   7.11e-06   1.00e+00     0.15   1.424e+01   1.447e+01   1.447e+01   1.011479e-04   1.028010e-04   1.028010e-04   1.028010e-04   1.028010e-04   9.007573e-06   6.729203e-05   6.729203e-05   7.679473e-05   7.679473e-05   8.076670e-06     0.87  -1.000e+00
      11        154       3077       1821   351.737563004   -30.054971941   5.66e-05   1.66e-04        3075.35        1820.35   351.737858950   -30.055176745          1        3075.69        1820.85   351.737797965   -30.055019421          1       3068       3082       1813       1828   7.08e-06   1.00e+00     0.25   1.332e+01   1.344e+01   1.344e+01   9.437152e-05   9.523175e-05   9.523175e-05   9.523175e-05   9.523175e-05   8.745703e-06   8.352066e-05   8.352066e-05   9.654182e-05   9.654182e-05   8.572502e-06     1.18  -1.000e+00
      12        140       2201        723   351.894987168   -30.397809998   6.17e-05   1.81e-04        2199.51         723.40   351.895256172   -30.397685590          1        2199.64         723.32   351.895231966   -30.397709481          1       2192       2207        717        730   7.10e-06   1.00e+00     0.25   1.212e+01   1.233e+01   1.233e+01   8.606029e-05   8.756837e-05   8.756837e-05   8.756837e-05   8.756837e-05   8.525199e-06   7.139096e-05   7.139096e-05   8.392086e-05   8.392086e-05   8.249118e-06     1.14  -1.000e+00
      13        136       2652       1414   351.813822530   -30.182584030   6.60e-05   1.94e-04        2652.35        1414.96   351.813759221   -30.182285278          1        2652.32        1414.85   351.813765597   -30.182317040          1       2647       2658       1408       1422   7.10e-06   1.00e+00     0.24   1.147e+01   1.152e+01   1.152e+01   8.140341e-05   8.181177e-05   8.181177e-05   8.181177e-05   8.181177e-05   8.355845e-06   6.831067e-05   6.831067e-05   8.148893e-05   8.148893e-05   8.186030e-06     1.15  -1.000e+00
      14        117       4167       1346   351.541322488   -30.202284981   6.70e-05   1.97e-04        4166.41        1347.79   351.541430396   -30.201728236          1        4166.54        1347.56   351.541407291   -30.201798846          1       4160       4171       1341       1356   7.11e-06   1.00e+00     0.26   1.117e+01   1.135e+01   1.135e+01   7.946716e-05   8.077480e-05   8.077480e-05   8.077480e-05   8.077480e-05   8.338987e-06   5.796921e-05   5.796921e-05   6.938877e-05   6.938877e-05   7.915457e-06     1.00  -1.000e+00
