# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = NGP5_initial_clean.image.tt0.fits
# RMS (constant) = 2.568e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.113e-01 , 2.238e-01) arcsec, PA = -7.730e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         41       2997       3905   205.212055128    32.613215430   2.81e-06   2.79e-06        2996.49        3905.00   205.212072019    32.613215425          1        2996.48        3904.77   205.212072427    32.613209131          1       2993       3000       3902       3909   2.57e-06   1.00e+00     0.23   1.562e+02   1.594e+02   1.594e+02   4.011039e-04   4.092647e-04   4.092647e-04   4.092647e-04   4.092647e-04   2.218865e-05   4.717723e-04   4.717723e-04   4.746968e-04   4.746968e-04   2.387333e-05     1.19  -1.000e+00
       2         55       3064       1308   205.209815517    32.541077195   2.82e-06   2.80e-06        3063.53        1307.87   205.209831092    32.541073655          1        3063.66        1308.11   205.209826852    32.541080223          1       3058       3068       1305       1311   2.57e-06   1.00e+00     0.11   1.369e+02   1.369e+02   1.369e+02   3.515755e-04   3.515755e-04   3.515755e-04   3.515755e-04   3.515755e-04   1.910625e-05   4.896807e-04   4.896807e-04   4.932705e-04   4.932705e-04   2.479683e-05     1.65  -1.000e+00
       3        135       6575       1386   205.094123130    32.543225131   3.08e-06   2.95e-06        6571.86        1383.93   205.094226673    32.543167788          1        6573.17        1384.55   205.094183419    32.543184855          1       6564       6580       1377       1393   2.57e-06   1.00e+00     0.46   4.428e+01   4.586e+01   4.586e+01   1.136995e-04   1.177541e-04   1.177541e-04   1.177541e-04   1.177541e-04   6.841399e-06   3.789313e-04   3.789313e-04   3.884401e-04   3.884401e-04   1.959101e-05     5.46  -1.000e+00
       4         41       8182       2446   205.041126736    32.572625582   3.34e-06   3.10e-06        8182.10        2446.24   205.041123510    32.572632354          1        8182.07        2446.20   205.041124408    32.572631088          1       8178       8186       2444       2449   2.57e-06   1.00e+00     0.11   3.256e+01   3.256e+01   3.256e+01   8.360392e-05   8.360392e-05   8.360392e-05   8.360392e-05   8.360392e-05   5.182965e-06   1.376909e-04   1.376909e-04   1.428339e-04   1.428339e-04   7.589272e-06     1.86  -1.000e+00
       5         23       2121       3515   205.240935029    32.602369709   3.70e-06   3.32e-06        2120.74        3514.65   205.240943623    32.602360042          1        2120.72        3514.75   205.240944295    32.602362836          1       2118       2123       3512       3517   2.57e-06   1.00e+00     0.11   2.471e+01   2.471e+01   2.471e+01   6.345842e-05   6.345842e-05   6.345842e-05   6.345842e-05   6.345842e-05   4.274512e-06   6.803159e-05   6.803159e-05   7.155550e-05   7.155550e-05   4.403829e-06     1.16  -1.000e+00
       6         33       7891       4230   205.050651511    32.622190729   4.02e-06   3.52e-06        7891.39        4229.67   205.050638531    32.622181457          1        7891.30        4229.68   205.050641476    32.622181945          1       7888       7895       4227       4232   2.57e-06   1.00e+00     0.34   2.074e+01   2.085e+01   2.085e+01   5.325798e-05   5.354500e-05   5.354500e-05   5.354500e-05   5.354500e-05   3.861053e-06   9.143426e-05   9.143426e-05   9.724992e-05   9.724992e-05   5.498828e-06     1.78  -1.000e+00
       7         24       4415       4206   205.165292531    32.621582578   4.22e-06   3.65e-06        4415.04        4205.38   205.165291158    32.621565217          1        4414.96        4205.62   205.165293995    32.621571907          1       4412       4418       4204       4207   2.57e-06   1.00e+00     0.11   1.902e+01   1.902e+01   1.902e+01   4.883753e-05   4.883753e-05   4.883753e-05   4.883753e-05   4.883753e-05   3.675600e-06   5.375511e-05   5.375511e-05   5.758217e-05   5.758217e-05   3.857785e-06     1.35  -1.000e+00
       8         25       2522       2748   205.227699543    32.581070645   4.98e-06   4.14e-06        2522.20        2748.64   205.227692961    32.581088425          1        2522.18        2748.44   205.227693507    32.581082826          1       2519       2525       2747       2751   2.57e-06   1.00e+00     0.34   1.462e+01   1.462e+01   1.462e+01   3.753015e-05   3.753015e-05   3.753015e-05   3.753015e-05   3.753015e-05   3.267709e-06   4.703376e-05   4.703376e-05   5.168966e-05   5.168966e-05   3.643184e-06     1.59  -1.000e+00
       9         19       4064       5182   205.176870034    32.648693810   5.23e-06   4.31e-06        4063.79        5181.37   205.176876979    32.648676266          1        4063.71        5181.51   205.176879594    32.648680143          1       4062       4066       5179       5183   2.57e-06   1.00e+00     0.46   1.352e+01   1.366e+01   1.366e+01   3.471622e-05   3.507293e-05   3.507293e-05   3.507293e-05   3.507293e-05   3.187563e-06   4.088130e-05   4.088130e-05   4.529483e-05   4.529483e-05   3.423783e-06     1.25  -1.000e+00
      10         38       5271       3982   205.137063706    32.615355612   5.27e-06   4.34e-06        5273.05        3982.24   205.136996012    32.615362172          1        5272.26        3982.27   205.137022265    32.615363079          1       5268       5281       3980       3984   2.57e-06   1.00e+00     0.57   1.338e+01   1.350e+01   1.350e+01   3.435565e-05   3.467313e-05   3.467313e-05   3.467313e-05   3.467313e-05   3.174853e-06   5.996890e-05   5.996890e-05   6.653948e-05   6.653948e-05   4.202618e-06     2.52  -1.000e+00
