# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = NGP9_initial_clean.image.tt0.fits
# RMS (constant) = 4.068e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (4.100e-01 , 2.341e-01) arcsec, PA = 7.347e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         58       7466       2349   194.711364643    31.558872478   3.15e-06   2.93e-06        7464.60        2350.36   194.711410127    31.558910351          1        7465.17        2349.85   194.711391750    31.558895990          1       7458       7470       2347       2354   4.07e-06   1.00e+00     0.08   5.084e+01   5.124e+01   5.124e+01   2.068222e-04   2.084456e-04   2.084456e-04   2.084456e-04   2.084456e-04   1.193945e-05   3.009610e-04   3.009610e-04   3.076105e-04   3.076105e-04   1.590934e-05     1.64  -1.000e+00
       2         52       3447       3873   194.842391614    31.601247649   3.33e-06   3.01e-06        3446.77        3873.25   194.842399142    31.601254592          1        3446.76        3872.95   194.842399486    31.601246150          1       3441       3454       3871       3877   4.07e-06   1.00e+00     0.17   4.103e+01   4.109e+01   4.109e+01   1.668885e-04   1.671252e-04   1.671252e-04   1.671252e-04   1.671252e-04   9.876544e-06   2.159576e-04   2.159576e-04   2.221093e-04   2.221093e-04   1.182700e-05     1.58  -1.000e+00
       3         66       5844       6605   194.764172281    31.677127694   3.88e-06   3.27e-06        5843.85        6604.55   194.764177234    31.677115070          1        5843.79        6604.64   194.764179207    31.677117807          1       5839       5850       6601       6609   4.07e-06   1.00e+00     0.17   2.788e+01   2.788e+01   2.788e+01   1.133926e-04   1.133926e-04   1.133926e-04   1.133926e-04   1.133926e-04   7.337200e-06   2.114239e-04   2.114239e-04   2.209098e-04   2.209098e-04   1.177071e-05     2.30  -1.000e+00
       4         42       5935       2321   194.761274356    31.558126413   4.05e-06   3.35e-06        5934.50        2321.21   194.761290652    31.558132372          1        5935.07        2320.90   194.761272093    31.558123545          1       5929       5939       2318       2324   4.07e-06   1.00e+00     0.25   2.553e+01   2.563e+01   2.563e+01   1.038331e-04   1.042674e-04   1.042674e-04   1.042674e-04   1.042674e-04   6.933583e-06   1.342514e-04   1.342514e-04   1.409080e-04   1.409080e-04   8.135374e-06     1.51  -1.000e+00
       5         37       4191       3828   194.818126857    31.599999998   4.48e-06   3.56e-06        4189.73        3829.11   194.818168285    31.600030779          1        4190.37        3828.63   194.818147361    31.600017591          1       4184       4194       3826       3832   4.07e-06   1.00e+00     0.08   2.146e+01   2.146e+01   2.146e+01   8.728872e-05   8.728872e-05   8.728872e-05   8.728872e-05   8.728872e-05   6.216325e-06   9.903882e-05   9.903882e-05   1.051224e-04   1.051224e-04   6.646314e-06     1.43  -1.000e+00
       6         40       4405       3181   194.811148862    31.582027601   4.78e-06   3.71e-06        4406.00        3181.10   194.811116254    31.582030377          1        4405.62        3180.98   194.811128797    31.582027161          1       4401       4412       3179       3183   4.07e-06   1.00e+00     0.17   1.941e+01   1.941e+01   1.941e+01   7.896213e-05   7.896213e-05   7.896213e-05   7.896213e-05   7.896213e-05   5.884575e-06   9.995056e-05   9.995056e-05   1.068902e-04   1.068902e-04   6.716432e-06     1.62  -1.000e+00
       7         35       2285       5481   194.880318975    31.645901464   6.82e-06   4.83e-06        2284.37        5481.37   194.880339492    31.645911772          1        2284.41        5481.29   194.880338224    31.645909490          1       2281       2288       5479       5484   4.07e-06   1.00e+00     0.42   1.210e+01   1.210e+01   1.210e+01   4.919976e-05   4.919976e-05   4.919976e-05   4.919976e-05   4.919976e-05   4.854530e-06   6.801653e-05   6.801653e-05   7.661819e-05   7.661819e-05   5.587713e-06     1.79  -1.000e+00
       8         42       7457       2345   194.711658162    31.558761610   7.57e-06   5.26e-06        7456.52        2346.19   194.711673648    31.558794692          1        7456.65        2345.89   194.711669703    31.558786294          1       7453       7460       2344       2349   4.07e-06   1.00e+00     0.75   1.043e+01   1.070e+01   1.070e+01   4.243657e-05   4.352216e-05   4.352216e-05   4.352216e-05   4.352216e-05   4.694655e-06   7.944285e-05   7.944285e-05   9.127004e-05   9.127004e-05   6.113283e-06     2.30  -1.000e+00
       9         24       3558       5563   194.838782036    31.648192737   8.35e-06   5.72e-06        3558.04        5563.58   194.838780680    31.648208941          1        3557.92        5563.49   194.838784760    31.648206411          1       3554       3563       5562       5566   4.07e-06   1.00e+00     0.42   9.482e+00   9.561e+00   9.561e+00   3.856855e-05   3.889153e-05   3.889153e-05   3.889153e-05   3.889153e-05   4.575267e-06   3.781435e-05   3.781435e-05   4.437784e-05   4.437784e-05   4.633590e-06     1.41  -1.000e+00
      10         16       4696       1953   194.801666085    31.547915634   8.53e-06   5.82e-06        4696.00        1953.19   194.801666084    31.547920843          1        4695.96        1953.15   194.801667334    31.547919747          1       4694       4699       1952       1955   4.07e-06   1.00e+00     0.42   9.343e+00   9.343e+00   9.343e+00   3.800548e-05   3.800548e-05   3.800548e-05   3.800548e-05   3.800548e-05   4.553623e-06   2.858011e-05   2.858011e-05   3.370183e-05   3.370183e-05   4.402977e-06     0.95  -1.000e+00
      11        162       1371        711   194.910011282    31.513383487   9.83e-06   6.59e-06        1372.63         715.98   194.909958319    31.513521728          1        1372.71         715.40   194.909955692    31.513505797          1       1365       1381        707        727   4.07e-06   1.00e+00     2.58   8.475e+00   8.730e+00   7.990e+00   3.447409e-05   3.551219e-05   3.250205e-05   3.250205e-05   3.250205e-05   4.428339e-06   2.262936e-04   2.262936e-04   2.769316e-04   2.769316e-04   1.443172e-05    10.75  -1.000e+00
      12         23       4217       3112   194.817279024    31.580111107   1.11e-05   7.34e-06        4217.91        3112.52   194.817249253    31.580125600          1        4217.57        3112.54   194.817260594    31.580126036          1       4214       4222       3111       3114   4.07e-06   1.00e+00     0.83   6.745e+00   7.036e+00   7.036e+00   2.743514e-05   2.861974e-05   2.861974e-05   2.861974e-05   2.861974e-05   4.349946e-06   3.183024e-05   3.183024e-05   4.043107e-05   4.043107e-05   4.542395e-06     1.68  -1.000e+00
      13         12       2199       3925   194.883094796    31.602677851   1.28e-05   8.38e-06        2199.58        3925.25   194.883075775    31.602684806          1        2199.56        3925.20   194.883076652    31.602683421          1       2198       2201       3924       3927   4.07e-06   1.00e+00     0.92   5.953e+00   6.041e+00   6.041e+00   2.421335e-05   2.457420e-05   2.457420e-05   2.457420e-05   2.457420e-05   4.277611e-06   1.702845e-05   1.702845e-05   2.286604e-05   2.286604e-05   4.225377e-06     1.00  -1.000e+00
      14         27       5305       5871   194.781773451    31.656744941   1.44e-05   9.39e-06        5304.04        5870.70   194.781804879    31.656736720          1        5304.22        5870.63   194.781798878    31.656734535          1       5301       5307       5868       5874   4.07e-06   1.00e+00     2.08   5.862e+00   5.929e+00   5.329e+00   2.384347e-05   2.411619e-05   2.167553e-05   2.167553e-05   2.167553e-05   4.231923e-06   3.514948e-05   3.514948e-05   4.999641e-05   4.999641e-05   4.774492e-06     2.53  -1.000e+00
      15         20       2480       6867   194.873979472    31.684404416   1.38e-05   9.02e-06        2480.40        6867.20   194.873966418    31.684409978          1        2480.25        6867.20   194.873971461    31.684410042          1       2478       2483       6865       6869   4.07e-06   1.00e+00     1.33   5.845e+00   5.845e+00   5.565e+00   2.377688e-05   2.377688e-05   2.263790e-05   2.263790e-05   2.263790e-05   4.246510e-06   2.650534e-05   2.650534e-05   3.690489e-05   3.690489e-05   4.466721e-06     1.80  -1.000e+00
      16         18       4048       4720   194.822791904    31.624777681   1.42e-05   9.27e-06        4046.83        4718.94   194.822829961    31.624748359          1        4046.96        4719.05   194.822825870    31.624751272          1       4043       4050       4717       4721   4.07e-06   1.00e+00     1.25   5.630e+00   5.630e+00   5.400e+00   2.290219e-05   2.290219e-05   2.196660e-05   2.196660e-05   2.196660e-05   4.236274e-06   2.073783e-05   2.073783e-05   2.929961e-05   2.929961e-05   4.323522e-06     1.67  -1.000e+00
      17         17       2642       5404   194.868669046    31.643767716   1.45e-05   9.46e-06        2642.29        5403.88   194.868659447    31.643764451          1        2642.17        5403.92   194.868663390    31.643765453          1       2640       2645       5402       5406   4.07e-06   1.00e+00     1.42   5.612e+00   5.612e+00   5.282e+00   2.282801e-05   2.282801e-05   2.148565e-05   2.148565e-05   2.148565e-05   4.229114e-06   2.230129e-05   2.230129e-05   3.186508e-05   3.186508e-05   4.368653e-06     1.61  -1.000e+00
      18         11       4829       4282   194.797316679    31.612609470   1.40e-05   9.13e-06        4830.00        4282.36   194.797284059    31.612619566          1        4829.81        4282.26   194.797290297    31.612616696          1       4828       4832       4281       4284   4.07e-06   1.00e+00     0.92   5.493e+00   5.493e+00   5.493e+00   2.234496e-05   2.234496e-05   2.234496e-05   2.234496e-05   2.234496e-05   4.242008e-06   1.351860e-05   1.351860e-05   1.894036e-05   1.894036e-05   4.176543e-06     1.00  -1.000e+00
      19         12       3110       6001   194.853405101    31.660356190   1.46e-05   9.52e-06        3109.92        6001.25   194.853407823    31.660363134          1        3109.97        6001.19   194.853405976    31.660361454          1       3108       3112       6000       6003   4.07e-06   1.00e+00     1.00   5.247e+00   5.247e+00   5.247e+00   2.134171e-05   2.134171e-05   2.134171e-05   2.134171e-05   2.134171e-05   4.227000e-06   1.462050e-05   1.462050e-05   2.096376e-05   2.096376e-05   4.200639e-06     1.14  -1.000e+00
      20         11       5478       1951   194.776176613    31.547854334   1.46e-05   9.51e-06        5478.55        1950.82   194.776158836    31.547849277          1        5478.53        1950.81   194.776159261    31.547848983          1       5477       5480       1949       1952   4.07e-06   1.00e+00     0.92   5.168e+00   5.251e+00   5.251e+00   2.102036e-05   2.135824e-05   2.135824e-05   2.135824e-05   2.135824e-05   4.227242e-06   1.420204e-05   1.420204e-05   2.035549e-05   2.035549e-05   4.193154e-06     1.05  -1.000e+00
      21         10       4487       3592   194.808473926    31.593444102   1.52e-05   9.86e-06        4486.90        3592.20   194.808477186    31.593449658          1        4486.91        3592.21   194.808476718    31.593450017          1       4485       4489       3591       3594   4.07e-06   1.00e+00     0.83   5.050e+00   5.050e+00   5.050e+00   2.054210e-05   2.054210e-05   2.054210e-05   2.054210e-05   2.054210e-05   4.215496e-06   1.260062e-05   1.260062e-05   1.844598e-05   1.844598e-05   4.171008e-06     0.99  -1.000e+00
