# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = ./output/mock_0.206mJy_H12-00_flux_170919.fits
# RMS image = ../H12-00/H12-00_crop_rms_sqaure_small.fits
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (200 , 200) pixels
# Image projection = SIN
# Total non-blank pixels = 40000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.338e-01 , 2.473e-01) arcsec, PA = -4.115e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.600e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
       1         45         94         21   176.754057231    -0.303583039   2.88e-06   2.89e-06          94.00          21.00   176.754057231    -0.303583039          1          94.00          21.00   176.754057231    -0.303583039          1         91         97         18         24   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143692e-05   2.765755e-04   2.765755e-04   2.819914e-04   2.819914e-04   1.437138e-05     1.44  -1.000e+00
       2         45         82         38   176.754390564    -0.303110813   2.88e-06   2.89e-06          82.00          38.00   176.754390564    -0.303110813          1          82.00          38.00   176.754390564    -0.303110813          1         79         85         35         41   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143693e-05   2.765755e-04   2.765755e-04   2.819915e-04   2.819915e-04   1.437140e-05     1.44  -1.000e+00
       3         45         43         90   176.755473900    -0.301666359   2.88e-06   2.89e-06          43.00          90.00   176.755473900    -0.301666359          1          43.00          90.00   176.755473900    -0.301666359          1         40         46         87         93   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143694e-05   2.765755e-04   2.765755e-04   2.819916e-04   2.819916e-04   1.437141e-05     1.44  -1.000e+00
       4         45        124         38   176.753223879    -0.303110821   2.88e-06   2.89e-06         124.00          38.00   176.753223879    -0.303110821          1         124.00          38.00   176.753223879    -0.303110821          1        121        127         35         41   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143695e-05   2.765755e-04   2.765755e-04   2.819917e-04   2.819917e-04   1.437142e-05     1.44  -1.000e+00
       5         45        110         55   176.753612769    -0.302638595   2.88e-06   2.89e-06         110.00          55.00   176.753612769    -0.302638595          1         110.00          55.00   176.753612769    -0.302638595          1        107        113         52         58   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143697e-05   2.765755e-04   2.765755e-04   2.819918e-04   2.819918e-04   1.437144e-05     1.44  -1.000e+00
       6         45         86         78   176.754279440    -0.301999701   2.88e-06   2.89e-06          86.00          78.00   176.754279440    -0.301999701          1          86.00          78.00   176.754279440    -0.301999701          1         83         89         75         81   2.78e-06   1.00e+00     0.10   7.405e+01   7.405e+01   7.405e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143697e-05   2.765755e-04   2.765755e-04   2.819919e-04   2.819919e-04   1.437145e-05     1.44  -1.000e+00
       7         45        160         69   176.752223854    -0.302249714   2.88e-06   2.89e-06         160.00          69.00   176.752223854    -0.302249714          1         160.00          69.00   176.752223854    -0.302249714          1        157        163         66         72   2.78e-06   1.00e+00     0.10   7.404e+01   7.404e+01   7.404e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143699e-05   2.765755e-04   2.765755e-04   2.819920e-04   2.819920e-04   1.437147e-05     1.44  -1.000e+00
       8         45         92        120   176.754112758    -0.300833033   2.88e-06   2.89e-06          92.00         120.00   176.754112758    -0.300833033          1          92.00         120.00   176.754112758    -0.300833033          1         89         95        117        123   2.78e-06   1.00e+00     0.10   7.404e+01   7.404e+01   7.404e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143700e-05   2.765755e-04   2.765755e-04   2.819922e-04   2.819922e-04   1.437148e-05     1.44  -1.000e+00
       9         45        146        101   176.752612740    -0.301360821   2.88e-06   2.89e-06         146.00         101.00   176.752612740    -0.301360821          1         146.00         101.00   176.752612740    -0.301360821          1        143        149         98        104   2.78e-06   1.00e+00     0.10   7.404e+01   7.404e+01   7.404e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143701e-05   2.765755e-04   2.765755e-04   2.819923e-04   2.819923e-04   1.437150e-05     1.44  -1.000e+00
      10         45        155        146   176.752362723    -0.300110820   2.88e-06   2.89e-06         155.00         146.00   176.752362723    -0.300110820          1         155.00         146.00   176.752362723    -0.300110820          1        152        158        143        149   2.78e-06   1.00e+00     0.10   7.404e+01   7.404e+01   7.404e+01   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   2.060000e-04   1.143704e-05   2.765755e-04   2.765755e-04   2.819925e-04   2.819925e-04   1.437153e-05     1.44  -1.000e+00
